,bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_lower,categories,thumbnail,description,published_year,num_pages
25,79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,coming into the country,Nature,http://books.google.com/books/content?id=ds3uJRhlOB0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An account of a kayak and canoe journey through the Brooks Range wilderness, impressions of urban life and political activity, and portraits of people in the bush make up a study of contemporary Alaska",1991.0,448.0
26,81,Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,giving good weight,Literary Collections,http://books.google.com/books/content?id=Xx0IHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""You people come into the market--the Greenmarket, in the open air under the down pouring sun--and you slit the tomatoes with your fingernails. With your thumbs, you excavate the cheese. You choose your stringbeans one at a time. You pulp the nectarines and rape the sweet corn. You are something wonderful, you are--people of the city--and we, who are almost without exception strangers here, are as absorbed with you as you seem to be with the numbers on our hanging scales."" So opens the title piece in this collection of John McPhee's classic essays, grouped here with four others, including ""Brigade de Cuisine,"" a profile of an artistic and extraordinary chef; ""The Keel of Lake Dickey,"" in which a journey down the whitewater of a wild river ends in the shadow of a huge projected dam; a report on plans for the construction of nuclear power plants that would float in the ocean; and a pinball shoot-out between two prizewinning journalists.",1994.0,288.0
27,85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81,1423,70,3/1/2002,Dramatists Play Service,the heidi chronicles,Literary Criticism,http://books.google.com/books/content?id=z1XLUAwU1sIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"THE STORY: Comprised of a series of interrelated scenes, the play traces the coming of age of Heidi Holland, a successful art historian, as she tries to find her bearings in a rapidly changing world. Gradually distancing herself from her friends, s",1990.0,81.0
28,90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,en-US,128,62,4,3/14/2006,North Light Books,simply beautiful beaded jewelry,Crafts & Hobbies,http://books.google.com/books/content?id=PRvExwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"If gorgeous beaded jewelry always catches your eye, you'll love making (and wearing!) your own necklaces, bracelets and earrings. Simply Beautiful Beaded Jewelry includes 50 projects plus variations in designer Heidi Boyd's simply elegant signature style. Inside you're bound to find plenty of designs to strike your fancy as well as a helpful section that shows you the basic supplies and techniques you'll need to get started. As an added bonus, many of the projects have variations in different colors and styles to help you customize your jewelry to your personal style. &break;&break;Just think how proud you'll feel the first time you can answer, ""I made it myself"" to a compliment on your fabulous new multistrand necklace or your sparkling, swingy crystal earrings. With Simply Beautiful Beaded Jewelry, it truly is easy to get started–in no time at all you'll be showcasing your own original beaded creations and making them as gifts.",2006.0,128.0
29,94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,eng,192,55,5,11/15/2004,ASCD,getting results with curriculum mapping,Education,http://books.google.com/books/content?id=FWNuQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Teachers and administrators offer concrete advice on how to get the most out of curriculum mapping in districts and schools.,2004.0,192.0
30,141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,9780596523695,eng,873,166,4,7/29/2006,O'Reilly Media,ruby cookbook,Computers,http://books.google.com/books/content?id=E_KMa5Zab0MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Provides information on using the Ruby programming language, covering such topics as strings and arrays, XML processing, Ruby on Rails, databases, and graphics.",2006.0,873.0
31,142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240,50,5,5/3/2005,Citadel,ruby ann's down home trailer park cookbook,Cooking,http://books.google.com/books/content?id=bVf9SQKUumgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Showcases the eccentric residents of the fictional High Chaparral Trailer Park of Pangburn, Arkansas, a community filled with sex, murder, topless dancing, secrets, and adultery, as they dish the dirt on their neighbors and provide such cost-effective recipes as Spam Rolls, Mayonnaises Cake, All Day Crock Pot Delight, and Honky Tonkin' Husband's Bread. Original.",2002.0,240.0
32,151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,anna karenina,Fiction,http://books.google.com/books/content?id=NjBz-8TLnTEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The Award-Winning New Translation Of The Great Russian Novel.,2002.0,837.0
33,151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,anna karenina,Fiction,http://books.google.com/books/content?id=6UsNAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Presents the classic nineteenth-century Russian novel in which a young woman is destroyed when she attempts to live outside the moral law of her society.,2004.0,752.0
34,151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,anna karenina,Fiction,http://books.google.com/books/content?id=FJKFPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Anna Karenina may be the greatest single novel ever written; it may also be just plainly and sublimely good. Regardless, there is no doubt that Anna Karenina (generally considered Tolstoy's finest novel) is a sublime achievement. Anna, miserable in a loveless marriage, succumbs to the desire for the dashing Vronsky. That sort of thing didn't stand one in good stead in 19th-century Russia; bad goes to worse, and the end Anna comes to is the stuff of legend. Tolstoy seamlessly captures a weaves a tapestry of Russian society -- as Matthew Arnold wrote in his celebrated essay on Tolstoy, We are not to take Anna Karenina as a work of art; we are to take it as a piece of life. One of the greatest love stories in world literature. -- Vladimir Nabokov",2004.0,740.0
